order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
00010242fe8c5a6d1ba2dd792cb16214,3ce436f183e68e07877b285a838db11a,delivered,"2017-09-13 10:59:02","2017-09-13 11:45:35","2017-09-19 20:34:16","2017-09-21 01:43:48","2017-09-29 02:00:00"
00018f77f2f0320c557190d7a144bdd3,f6dd3ec061db4e3987629fe6b26e5cce,delivered,"2017-04-26 12:53:06","2017-04-26 13:05:13","2017-05-04 16:35:00","2017-05-12 18:04:24","2017-05-15 02:00:00"
000229ec398224ef6ca0657da4fc703e,6489ae5e4333f3693df5ad4372dab6d3,delivered,"2018-01-14 15:33:31","2018-01-14 15:48:30","2018-01-16 13:36:48","2018-01-22 14:19:16","2018-02-05 01:00:00"
00024acbcdf0a6daa1e931b038114c75,d4eb9395c8c0431ee92fce09860c5a06,delivered,"2018-08-08 12:00:35","2018-08-08 12:10:18","2018-08-10 15:28:00","2018-08-14 15:32:39","2018-08-20 02:00:00"
00042b26cf59d7ce69dfabb4e55b4fd9,58dbd0b2d70206bf40e62cd34e84d795,delivered,"2017-02-04 14:57:51","2017-02-04 15:10:13","2017-02-16 10:46:09","2017-03-01 17:42:31","2017-03-17 01:00:00"
00048cc3ae777c65dbb7d2a0634bc1ea,816cbea969fe5b689b39cfc97a506742,delivered,"2017-05-15 23:42:34","2017-05-17 05:55:27","2017-05-17 13:05:55","2017-05-22 15:44:35","2017-06-06 02:00:00"
00054e8431b9d7675808bcb819fb4a32,32e2e6ab09e778d99bf2e0ecd4898718,delivered,"2017-12-10 12:53:48","2017-12-10 13:10:31","2017-12-12 02:07:48","2017-12-18 23:03:38","2018-01-04 01:00:00"
000576fe39319847cbb9d288c5617fa6,9ed5e522dd9dd85b4af4a077526d8117,delivered,"2018-07-04 14:08:27","2018-07-05 18:35:48","2018-07-05 14:15:00","2018-07-09 16:04:07","2018-07-25 02:00:00"
0005a1a1728c9d785b8e2b08b904576c,16150771dfd4776261284213b89c304e,delivered,"2018-03-19 19:40:33","2018-03-20 19:35:21","2018-03-28 02:37:42","2018-03-29 20:17:31","2018-03-29 02:00:00"
0005f50442cb953dcd1d21e1fb923495,351d3cb2cee3c7fd0af6616c82df21d3,delivered,"2018-07-02 15:59:39","2018-07-02 16:10:56","2018-07-03 16:25:00","2018-07-04 19:28:31","2018-07-23 02:00:00"
00061f2a7bc09da83e415a52dc8a4af1,c6fc061d86fab1e2b2eac259bac71a49,delivered,"2018-03-24 23:16:10","2018-03-24 23:28:09","2018-03-27 07:26:55","2018-03-29 02:04:19","2018-04-09 02:00:00"
00063b381e2406b52ad429470734ebd5,6a899e55865de6549a58d2c6845e5604,delivered,"2018-07-27 19:21:27","2018-07-27 20:00:06","2018-07-30 16:52:00","2018-08-07 15:56:52","2018-08-07 02:00:00"
0006ec9db01a64e59a68b2c340bf65a7,5d178120c29c61748ea95bac23cb8f25,delivered,"2018-07-24 19:04:17","2018-07-24 19:24:20","2018-07-25 13:02:00","2018-07-31 03:04:15","2018-08-22 02:00:00"
0008288aa423d2a3f00fcb17cd7d8719,2355af7c75e7c98b43a87b2a7f210dc5,delivered,"2018-02-13 23:10:21","2018-02-15 04:55:52","2018-02-20 19:23:28","2018-02-26 14:55:22","2018-03-06 01:00:00"
0009792311464db532ff765bf7b182ae,2a30c97668e81df7c17a8b14447aeeba,delivered,"2018-08-14 22:43:09","2018-08-15 14:15:10","2018-08-15 17:28:00","2018-08-22 14:02:27","2018-08-28 02:00:00"
0009c9a17f916a706d71784483a5d643,8a250edc40ebc5c3940ebc940f16a7eb,delivered,"2018-04-25 11:10:41","2018-04-25 11:33:19","2018-04-27 17:14:00","2018-04-30 19:54:25","2018-05-09 02:00:00"
000aed2e25dbad2f9ddb70584c5a2ded,fff5169e583fd07fac9fec88962f189d,delivered,"2018-05-11 22:33:38","2018-05-11 22:57:03","2018-05-16 16:26:00","2018-05-18 18:46:31","2018-05-22 02:00:00"
000c3e6612759851cc3cbb4b83257986,3773bcf1a6fbd29233ea1c1b573c4f22,delivered,"2017-08-12 12:08:57","2017-08-15 05:35:32","2017-08-15 17:32:51","2017-08-19 17:22:17","2017-09-01 02:00:00"
000e562887b1f2006d75e0be9558292e,2b01d668726fb0b751c55918c0437b7b,delivered,"2018-02-22 12:54:42","2018-02-22 13:08:37","2018-02-26 15:18:32","2018-03-12 19:46:34","2018-03-19 01:00:00"
000e63d38ae8c00bbcb5a30573b99628,98884e672c5ba85f4394f2044e1a3eab,delivered,"2018-03-23 20:48:26","2018-03-23 21:07:49","2018-03-26 23:38:48","2018-03-27 16:51:47","2018-04-05 02:00:00"
000e906b789b55f64edcb1f84030f90d,6a3b2fc9f270df258605e22bef19fd88,delivered,"2017-11-21 19:54:23","2017-11-21 20:09:02","2017-11-22 21:46:54","2017-12-09 18:27:23","2017-12-07 01:00:00"
000f25f4d72195062c040b12dce9a18a,86ade8ebc14f18dd6c3ea75bd0eb7534,delivered,"2018-03-07 11:33:13","2018-03-07 12:10:11","2018-03-16 16:58:31","2018-03-22 17:51:52","2018-04-11 02:00:00"
001021efaa8636c29475e7734483457d,2dfbf74859104caf100df3720a1d833d,delivered,"2018-02-27 10:27:14","2018-02-27 10:35:41","2018-02-27 22:43:46","2018-03-08 21:06:33","2018-03-23 01:00:00"
0010b2e5201cc5f1ae7e9c6cc8f5bd00,57ef317d4818cb42680fc9dfd13867ce,delivered,"2017-09-11 19:39:33","2017-09-11 20:04:37","2017-09-12 19:02:57","2017-09-23 15:21:21","2017-09-27 02:00:00"
0010dedd556712d7bb69a19cb7bbd37a,3a92efdb6e6163dc1734d44f2f5f6d04,unavailable,"2017-10-21 21:32:06","2017-10-24 05:25:32",NULL,NULL,"2017-11-03 01:00:00"
