arrival_icao,arrival_time_local,arrival_terminal,departure_city,departure_icao,departure_time_local,airline,flight_number,data_retrieved_on
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
EDDB,2023-02-11 11:30+01:00,1,Paris,LFPG,2023-02-11 09:40+01:00,easyJet,U2 5652,2023-02-10
