review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
0001239bc1de2e33cb583967c2ca4c67,fc046d7776171871436844218f817d7d,5,NULL,NULL,"2018-03-20 01:00:00","2018-03-20 19:36:04"
0001cc6860aeaf5b9017fe4131a52e62,d4665434b01caa9dc3e3e78b3eb3593e,5,NULL,NULL,"2018-06-22 02:00:00","2018-06-26 15:51:29"
00020c7512a52e92212f12d3e37513c0,e28abf2eb2f1fbcbdc2dd0cd9a561671,5,"Entrega rápida!","A entrega foi super rápida e o pendente é lindo! Igual a foto mesmo! ","2018-04-25 02:00:00","2018-04-26 16:55:36"
00032b0141443497c898b3093690af51,04fb47576993a3cb0c12d4b25eab6e4e,5,NULL,NULL,"2017-05-30 02:00:00","2017-06-02 01:28:55"
00034d88989f9a4c393bdcaec301537f,5f358d797a49fe2f24352f73426215f6,5,NULL,NULL,"2017-08-12 02:00:00","2017-08-13 21:56:53"
000359bceee1b6fe876b30d35b5f9ef2,97868e4c884bc85f4501ae0a66181cc9,5,NULL,NULL,"2018-02-06 01:00:00","2018-02-06 21:54:37"
00041b1f51e77a663df6db3f539d694f,998b1beee068744ac833dd8b31944623,1,NULL,NULL,"2018-05-24 02:00:00","2018-05-24 14:45:38"
00046a69550325aea5fb89f65c7387f2,9fbda7367628952bc36c3512c46d887b,5,"SUPER RECOMENDO","GOSTEI DA CAPINHA DE CELULAR, VEIO COMO EU ESPERAVA.","2018-07-01 02:00:00","2018-07-02 14:32:24"
0005534973388c830bb858cfba83b17b,a589caa6892ceacc6bbf2f8cc30a8ad4,5,NULL,"otimo produto. prazo cumprido. sabor tambem muito bom! ","2017-09-01 02:00:00","2017-09-02 15:04:08"
00055e36e9608fe969231e551983a69c,f5fea26ab547eec920e6f8ecdc5c37e4,5,NULL,"O produto foi entregue muito antes do esperado. Ótima agilidade.","2017-11-25 01:00:00","2017-11-27 12:37:22"
0005949d4c047d64863a6874338139ba,640883769bc5da4a077725646dc9995a,5,NULL,"Bom eu já sabia que era,mas é muito bonito.recomendo.","2017-06-20 02:00:00","2017-06-23 01:19:41"
0005bc906dfe3b73261020bf8e9b76cf,75cc0defdf90cda65066ce0ac171e2ab,5,NULL,"Muito bom ","2017-10-15 03:00:00","2017-10-15 19:53:22"
0006803d573e15ea8a16b6662dc712d3,f104033beebfd7e8f12217531c2275f9,5,NULL,"Entrega antes do prazo satisfeito ","2017-11-15 01:00:00","2017-11-18 03:22:01"
000688fa7009b3c9fafe4950b37cbc81,f7445b0cae0fd4d05894171adcc55931,5,Bom,"Meu sait preferido ","2018-06-19 02:00:00","2018-06-20 06:48:13"
0006cce9fd63c8ea1c488b88d4cb3f02,df940e48580d0f2c2283d0782c7f99e3,5,NULL,NULL,"2017-08-26 02:00:00","2017-08-30 14:03:31"
0008969b34581b1588db2f56fa333485,51402937e32c2e11f7aa13d58d0054f1,5,NULL,NULL,"2018-06-14 02:00:00","2018-06-16 21:15:24"
000932bcd6959ac688b310abead1acb8,c72add79a1bef8c55628b377b01eb02d,4,NULL,NULL,"2017-04-06 02:00:00","2017-04-07 20:00:25"
00097d2ebbdd5d8921a21af2370ef764,50a790149ec089ab00a4630204396f0f,5,NULL,NULL,"2017-08-03 02:00:00","2017-08-06 01:47:13"
0009d5c0d8e49da34e2561a67bc730f8,755fdf89024021c6324864182b6657b5,1,NULL,NULL,"2018-03-25 01:00:00","2018-03-26 13:38:15"
000a4fc2877b9726aecc081ad467bbf4,c2e8b417a29b392b9f49a30a868489cf,4,NULL,NULL,"2017-07-26 02:00:00","2017-07-27 01:31:23"
000b291d6b3cc20cbe11873a8ad2a3e3,8a321ac5f4ec102c87791bd745cb3fbf,5,NULL,NULL,"2018-01-18 01:00:00","2018-01-19 02:51:32"
000b3f23cb5d4e7dd8536fb2fe749164,b979990724c0c6accce90ed2a7bb04e0,5,NULL,NULL,"2018-06-13 02:00:00","2018-06-14 02:24:36"
000caf14947c8f8a867754e6044c2e7b,6f5a4883cdf5054788a32b5c8b36a8ed,4,NULL,NULL,"2018-03-26 02:00:00","2018-04-02 16:03:42"
000cf1cb9e32563359c8a3aff9b6f675,6d24d19f8842be0e8e1064fb0709528b,5,NULL,NULL,"2018-04-14 02:00:00","2018-04-17 01:11:12"
000d524a3c693e342d163912ad74f156,378e9f1b518253964f1e82f349d90b7b,4,NULL,NULL,"2017-05-17 02:00:00","2017-05-18 13:39:45"
000da26f546e5d51b6336486f57fc632,dc6a29077e547f5fe4377f251fd1c5d0,5,NULL,"Muito satisfeita com o produto, entrega e a praticidade do site. ","2017-06-03 02:00:00","2017-06-07 06:00:21"
000faedabef50689a0ea3fc4fbf99cb4,4b6a69ab5ba578e5193deeffcf9d0f7a,4,NULL,NULL,"2017-05-30 02:00:00","2017-05-31 01:08:24"
0010388b006db42c9457d7148035db0e,cadf75f0c2e29639d54ff0430d98e9f7,4,NULL,NULL,"2018-08-12 02:00:00","2018-08-14 13:35:39"
00112b1cb3cd58339c91aad88df2b835,c7068b2d09a51ca53dd0a06c2526be34,4,"Entrega muito rápida","Nota 10 pela entrega.
O produto não tem a cor exatamente preta, está mais para chumbo cobreado...","2018-05-03 02:00:00","2018-05-04 00:14:11"
00125f12c201cf0160f4a1457b466512,659a4b8e5c9540667f4d4d5607bc8f79,2,NULL,"O produto chegou no prazo porém o item veio errado, entrei em contato com o vendedor e o mesmo disse que me mandaria o produto correto.
Estou aguardando o código de rastreio do produto correto.","2018-03-13 01:00:00","2018-03-15 13:20:39"
0012aca79505926b2587d1140c08fad6,6af6633de36925111b10a688783d004b,3,NULL,"Veio a base de uma banqueta com avaria - riscos.","2017-11-14 01:00:00","2017-11-16 20:23:19"
0013e9dd48c5a38d258a9e0bd1917fa7,fb778dbecc94ac70dabbc1bf2d339e0a,3,NULL,"Empresa entrega dentro do que promete, no último dia do prazo, demora de mais, não encanta o cliente, pois só faz a obrigação básica.","2017-12-22 01:00:00","2017-12-23 00:49:40"
0013fd55e98d2d16c086831682d69a34,64eeb35d3ade7fcdff9fbb1ca5175bcf,4,NULL,NULL,"2018-08-24 02:00:00","2018-08-24 13:56:51"
00148610066c357531807daea5888a22,8f705decc6b7168523d676183f61b950,5,"ENTREGA DENTRO DO PRAZO","ENTREGA DENTRO DO PRAZO..RECOMENDO!","2018-05-16 02:00:00","2018-05-25 19:57:16"
0016d2d10b5c26607549a29446578edf,7536412c065c3c88cab8d15d406b24d8,4,NULL,NULL,"2018-03-13 01:00:00","2018-03-13 21:34:04"
001736c33bb2a7a2454785a497d9a7ab,df75a2d753c65af66e3571e2dbfd985a,3,NULL,"A entrega foi rapida porem o material do produto nao me agradou. ","2018-06-15 02:00:00","2018-06-15 21:20:57"
