order_id,created_date,total_paid,state
241423,2017-11-06 13:10:02,136.15,Completed
242832,2017-12-31 17:40:03,15.76,Completed
243330,2017-02-16 10:59:38,84.98,Completed
245275,2017-06-28 11:35:37,149.0,Completed
245595,2017-01-21 12:52:47,112.97,Completed
247524,2018-01-09 14:21:34,167.98,Completed
247643,2017-05-26 11:50:35,153.54,Completed
250275,2017-11-19 22:34:54,54.99,Completed
251302,2017-05-10 12:27:33,140.99,Completed
253220,2017-10-04 19:37:10,1610.0,Completed
253307,2017-09-30 06:11:10,292.04,Completed
254301,2017-01-08 13:10:53,35.91,Completed
254341,2017-07-31 10:25:35,34.98,Completed
254441,2017-05-09 14:00:45,56.98,Completed
254816,2017-01-12 15:57:20,283.83,Completed
256158,2017-08-05 19:51:20,386.18,Completed
256679,2017-11-26 10:43:04,20.58,Completed
256799,2018-02-16 09:44:42,20.97,Completed
257280,2017-12-20 14:49:52,260.0,Completed
258155,2018-01-22 18:51:50,40.76,Completed
258530,2017-08-30 10:54:18,7.78,Completed
259192,2017-11-09 11:15:51,195.74,Completed
259283,2017-12-22 09:19:28,24.98,Completed
260615,2017-01-10 18:59:49,225.16,Completed
261289,2017-06-21 08:21:20,192.98,Completed
261656,2017-08-24 19:28:24,44.98,Completed
261978,2017-01-10 00:19:44,109.98,Completed
262236,2017-06-05 10:02:29,122.97,Completed
263733,2017-02-06 13:06:34,372.98,Completed
263738,2017-08-16 17:05:25,80.96,Completed
263996,2017-02-20 09:44:55,156.98,Completed
265614,2017-01-16 15:40:05,147.48,Completed
265951,2017-01-26 12:08:46,121.46,Completed
265968,2017-09-04 18:32:57,470.33,Completed
266727,2017-01-30 15:03:51,150.02,Completed
267194,2017-12-19 21:22:34,75.98,Completed
267375,2017-01-10 22:58:11,17.98,Completed
268174,2017-02-13 22:15:52,723.69,Completed
268234,2017-11-24 09:33:02,84.17,Completed
269440,2017-01-18 19:15:00,213.98,Completed
272512,2018-03-04 11:35:15,114.98,Completed
274166,2017-01-21 12:52:28,170.99,Completed
274550,2017-01-09 15:17:53,118.92,Completed
277363,2017-01-17 23:33:59,29.99,Completed
277367,2017-01-11 17:07:00,179.98,Completed
279632,2017-02-13 19:45:18,219.67,Completed
279891,2017-01-16 22:59:07,64.99,Completed
280008,2017-02-03 10:43:59,174.97,Completed
280867,2018-01-08 14:38:24,34.98,Completed
281222,2017-04-21 19:23:10,24.98,Completed
281492,2017-08-28 18:46:58,72.97,Completed
281497,2017-01-05 12:16:45,697.72,Completed
282487,2017-01-25 18:13:49,130.44,Completed
282776,2017-08-09 11:02:48,42.99,Completed
284739,2017-01-09 16:42:59,342.97,Completed
285582,2017-12-18 19:04:40,56.98,Completed
286842,2017-01-02 22:43:59,79.99,Completed
286974,2017-01-31 21:00:10,117.4,Completed
287311,2017-01-29 22:56:57,54.99,Completed
288502,2017-01-22 13:09:26,351.97,Completed
288567,2017-07-03 23:08:38,24.97,Completed
289028,2017-02-15 10:45:22,267.98,Completed
289387,2017-07-25 17:05:17,58.28,Completed
290393,2017-09-24 11:41:23,318.93,Completed
290755,2018-02-13 10:17:49,540.16,Completed
291147,2017-02-09 12:08:58,49.98,Completed
292183,2017-11-24 02:05:50,71.48,Completed
293164,2017-11-23 18:05:25,54.99,Completed
294278,2018-03-04 20:04:01,173.98,Completed
294617,2017-01-14 11:41:48,120.2,Completed
294699,2017-05-29 00:01:35,33.98,Completed
295347,2017-01-01 02:02:38,72.19,Completed
295723,2017-01-08 15:04:58,39.98,Completed
296229,2017-01-03 03:10:06,132.98,Completed
296253,2017-01-10 11:43:43,308.95,Completed
296436,2017-01-11 10:09:27,387.6,Completed
296502,2017-01-01 21:21:57,71.57,Completed
296611,2017-01-02 05:41:19,112.99,Completed
297076,2017-01-03 17:03:42,46.88,Completed
297220,2017-01-07 15:15:29,112.98,Completed
297572,2017-01-27 23:59:50,51.99,Completed
297809,2017-01-01 12:07:38,18.23,Completed
298038,2017-07-04 17:10:48,266.95,Completed
298161,2017-01-02 10:20:14,327.99,Completed
298211,2017-04-25 14:52:58,89.99,Completed
298506,2017-01-17 09:12:26,46.98,Completed
298617,2017-05-08 21:22:04,175.96,Completed
298643,2017-01-14 16:52:22,68.98,Completed
298859,2017-01-02 11:32:47,54.99,Completed
298923,2017-02-15 16:13:52,63.94,Completed
299404,2017-01-01 22:59:31,415.11,Completed
299466,2017-01-01 22:56:21,1758.0,Completed
299545,2017-01-01 01:51:47,51.48,Completed
299546,2017-01-01 01:57:34,18.99,Completed
299556,2017-01-01 02:30:08,65.89,Completed
299561,2017-01-01 02:39:47,154.48,Completed
299563,2017-01-01 02:47:58,263.48,Completed
299564,2017-01-01 02:50:18,23.98,Completed
299571,2017-01-01 12:07:29,323.22,Completed
299578,2017-01-01 13:00:05,142.49,Completed
299579,2017-01-01 09:09:39,134.07,Completed
299586,2017-01-01 09:21:29,47.98,Completed
